dc_identifier,gnd_identifier,alternate_name,abbreviated_name,place_name,preferred_name,variant_name,related_place_name,production_date,professional_relationship,biographical_information,subject_category,related_subject_heading,geographic_area_code,place_literal,place_gnd_identifier,hierarchical_place_name_literal,address_type,street_address,postal_code,geo_type,latitude,longitude,broader_term_instantial_literal,broader_term_instantial_gnd_identifier
d-9FyP3SZi,None,Stadtpfarrkirche,Calau,None,CALAU / Ev. Stadtpfarrkirche,Ev. Stadtpfarrkirche, None,None,Person,None, None,None,None,Calau,4355577-9,(KALAWA) Lkr. Oberspreewald-Lausitz.,PostalAddress,None,None,GeoCoordinates,None,None,Pfarrkirche,4136603-7
d-NUsJXFQ8,None,Dorfkirche Marien,Buckow Nennhausen,None,BUCKOW BEI NENNHAUSEN / Ev. Dorfkirche St. Marien,Ev. Dorfkirche St. Marien, None,None,Person,None, None,None,None,Buckow Bei Nennhausen,1184400873,Lkr. Havelland.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-88JnCYrL,None,Dorfkirche Nikolai,Briest,None,BRIEST / Ev. Dorfkirche St. Nikolai,Ev. Dorfkirche St. Nikolai, None,None,Person,None, None,None,None,Briest,1059756161,"Gem. Welsebruch, Lkr. Uckermark.",PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-3SPt9wtt,None,Dorfkirche,Briesen,None,BRIESEN / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Briesen,1249786371,(BRJAZYNA) Lkr. Spree-Neiße.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-L0XJHVhV,1050255380,Rathaus,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Rathaus,Rathaus, None,None,Person,None," Öffentliche Verwaltung, Öffentlicher Dienst,  Architektur",None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,Altstädtischer Markt 10,None,GeoCoordinates,None,None,Rathaus,4176999-5
d-w5mmvovI,None,Kasernenstadt,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / „Kasernenstadt“,„Kasernenstadt“, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,Magdeburger Straße,None,GeoCoordinates,None,None,Kasernenstadt,None
d-Tvbfn6us,None,Petrikapelle,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Petrikapelle,Petrikapelle, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,Burgweg,None,GeoCoordinates,None,None,Kapelle,4029551-5
d-P7dnCCN3,7607661-1,Dominikanerkloster Pauli,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Dominikanerkloster St. Pauli,Dominikanerkloster St. Pauli, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,None,None,GeoCoordinates,None,None,Klosteranlage,7583222-7
d-9v5CLtY1,107565789X,Kirche Nikolai,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Kath. Kirche St. Nikolai,Kath. Kirche St. Nikolai, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,None,None,GeoCoordinates,None,None,Kirchenbau,4073436-5
d-LSONlYUT,4593945-7,Stadtpfarrkirche Gotthardt,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Ev. Stadtpfarrkirche St. Gotthardt,Ev. Stadtpfarrkirche St. Gotthardt, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,None,None,GeoCoordinates,None,None,Pfarrkirche,4136603-7
d-MD4vB8ZZ,None,Domstift,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Domstift,Domstift, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,None,None,GeoCoordinates,None,None,Stift,4057534-2
d-PbZBDSTA,4511603-9,Dom Peter Paul,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Dom St. Peter und Paul,Dom St. Peter und Paul, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,None,None,GeoCoordinates,None,None,Dom,4070532-8
d-91BhD6fl,4554496-7,Schloss,Boitzenburg,None,BOITZENBURG / Schloss,Schloss, None,None,Person,None, Architektur,None,None,Boitzenburg,1195467974,Lkr. Uckermark.,PostalAddress,None,None,GeoCoordinates,None,None,Schloss,4052753-0
d-w4sVnLwf,None,Zisterzienser-Nonnenkloster,Boitzenburg,None,BOITZENBURG / Zisterzienser-Nonnenkloster,Zisterzienser-Nonnenkloster, None,None,Person,None, None,None,None,Boitzenburg,1195467974,Lkr. Uckermark.,PostalAddress,None,None,GeoCoordinates,None,None,Klosteranlage,7583222-7
d-S0HEWIAz,None,Pfarrkirche,Blumberg,None,BLUMBERG / Ev. Pfarrkirche,Ev. Pfarrkirche, None,None,Person,None, None,None,None,Blumberg,1147983925,Lkr. Barnim.,PostalAddress,None,None,GeoCoordinates,None,None,Kirchenbau,4073436-5
d-TkAMTURw,None,Herrenhaus,Blankensee,None,BLANKENSEE / Herrenhaus,Herrenhaus, None,None,Person,None, Architektur,None,None,Blankensee,4264263-2,"Stadt Trebbin, Lkr. Teltow-Fläming.",PostalAddress,None,None,GeoCoordinates,None,None,Herrenhaus,4024581-0
d-MLWWrTxx,1191854159,Bundesschule Allgemeinen Deutschen Gewerkschaftsbunds,Bernau Berlin,None,BERNAU / Bundesschule des „Allgemeinen Deutschen Gewerkschaftsbunds“,Bundesschule des „Allgemeinen Deutschen Gewerkschaftsbunds“, None,None,Person,None, None,None,None,Bernau Bei Berlin,4005772-0,Lkr. Barnim.,PostalAddress,Fritz-Heckert-Str. 43,None,GeoCoordinates,52.7017995,13.5441415,Schulgebäude,4216380-8
d-V835L6VQ,4238308-0,Stadtpfarrkirche Marien,Bernau Berlin,None,BERNAU / Ev. Stadtpfarrkirche St. Marien,Ev. Stadtpfarrkirche St. Marien, None,None,Person,None, None,None,None,Bernau Bei Berlin,4005772-0,Lkr. Barnim.,PostalAddress,None,None,GeoCoordinates,52.7017995,13.5441415,Pfarrkirche,4136603-7
d-AXGrSkvs,None,Stadtpfarrkirche Nikolaus,Bad Wilsnack,None,BAD WILSNACK / Ev. Stadtpfarrkirche St. Nikolaus,Ev. Stadtpfarrkirche St. Nikolaus, None,None,Person,None, None,None,None,Bad Wilsnack,4066231-7,Lkr. Prignitz.,PostalAddress,None,None,GeoCoordinates,None,None,Pfarrkirche,4136603-7
d-3IgdgFQG,None,Stadtkirche Nikolai,Bad Liebenwerda,None,BAD LIEBENWERDA / Stadtkirche St. Nikolai,Stadtkirche St. Nikolai, None,None,Person,None, None,None,None,Bad Liebenwerda,4099622-0,Lkr. Elbe-Elster.,PostalAddress,None,None,GeoCoordinates,None,None,Kirchenbau,4073436-5
d-pOu2GMio,None,Bricciuskirche,Bad Belzig,None,BAD BELZIG / Ev. Bricciuskirche,Ev. Bricciuskirche, None,None,Person,None, None,None,None,Bad Belzig,4355517-2,Lkr. Potsdam-Mittelmark.,PostalAddress,None,None,GeoCoordinates,52.1416718,12.594393734164651,Kirchenbau,4073436-5
d-YiejYaY9,None,Gertraudenkapelle,Bad Belzig,None,BAD BELZIG / Gertraudenkapelle,Gertraudenkapelle, None,None,Person,None, None,None,None,Bad Belzig,4355517-2,Lkr. Potsdam-Mittelmark.,PostalAddress,Brandenburger Str.,None,GeoCoordinates,52.1416718,12.594393734164651,Kapelle,4029551-5
d-F9TtF61w,None,Stadtpfarrkirche Marien,Bad Belzig,None,BAD BELZIG / Ev. Stadtpfarrkirche St. Marien,Ev. Stadtpfarrkirche St. Marien, None,None,Person,None, None,None,None,Bad Belzig,4355517-2,Lkr. Potsdam-Mittelmark.,PostalAddress,None,None,GeoCoordinates,52.1416718,12.594393734164651,Pfarrkirche,4136603-7
d-aDsmiytY,4468553-1,Klosterkirche,Angermünde,None,ANGERMÜNDE / Klosterkirche,Klosterkirche, None,None,Person,None," Liturgik, Frömmigkeit,  Architektur",None,None,Angermünde,4079777-6,Lkr. Uckermark.,PostalAddress,None,None,GeoCoordinates,None,None,Klosterkirche,4225043-2
d-5Oazsjor,4796927-1,Schloss,Ahlsdorf,None,AHLSDORF / Schloss,Schloss, None,None,Person,None, Architektur,None,None,Ahlsdorf,1034409778,"Stadt Schönewalde, Lkr. Elbe-Elster.",PostalAddress,None,None,GeoCoordinates,None,None,Schloss,4052753-0
d-Xy6Rfp1b,None,Dorfkirche,Ahlsdorf,None,AHLSDORF / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Ahlsdorf,1034409778,"Stadt Schönewalde, Lkr. Elbe-Elster.",PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-Ux0JZEeY,7553205-0,Dorfkirche,Alt Krüssow,None,ALT KRÜSSOW / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Alt Krüssow,7552819-8,"Stadt Pritzwalk, Lkr. Prignitz.",PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-QF0006EJ,None,Herrenhaus,Altranft,None,ALTRANFT / Herrenhaus,Herrenhaus, None,None,Person,None, Architektur,None,None,Altranft,4636452-3,"Stadt Bad Freienwalde (Oder), Lkr. Märkisch-Oderland",PostalAddress,None,None,GeoCoordinates,None,None,Herrenhaus,4024581-0
d-L8XzwT3T,None,Parteischule Zentralkomitees SED,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Parteischule des Zentralkomitees der SED,Parteischule des Zentralkomitees der SED, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,Gertrud-Piter-Platz 11,None,GeoCoordinates,None,None,Schulgebäude,4216380-8
d-ioxvVs3f,None,Neustädtische Gelehrtenschule,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Neustädtische Gelehrtenschule,Neustädtische Gelehrtenschule, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,Katharinenkirchplatz 5,None,GeoCoordinates,None,None,Schulgebäude,4216380-8
d-31BIT9v4,None,Saldria,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Saldria,Saldria, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,Gotthardtkirchplatz 9,None,GeoCoordinates,None,None,Schulgebäude,4216380-8
d-yihBNPGF,None,Roland,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Roland,Roland, None,None,Person,None," Plastik,  Geschichte (Allgemeines)",None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,None,None,GeoCoordinates,None,None,Roland,4178397-9
d-aJdX9P1E,None,Wohlfahrtsforum,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Wohlfahrtsforum,Wohlfahrtsforum, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,Kanalstr. 8/9,None,GeoCoordinates,None,None,Wohlfahrtsforum,None
d-g69srIiO,None,Wohnhaus Plauer 6,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Wohnhaus Plauer Str. 6,Wohnhaus Plauer Str. 6, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,Plauer Str. 6,None,GeoCoordinates,None,None,Haus,4023693-6
d-eLPasaLm,4562977-8,Arbeiter-Gartenstadt Grube Marga,Senftenberg,None,BRIESKE / Arbeiter-Gartenstadt „Grube Marga“,Arbeiter-Gartenstadt „Grube Marga“, None,None,Person,None, None,None,None,Senftenberg-brieske,1181450098,"Stadt Senftenberg, Lkr. Oberspreewald-Lausitz.",PostalAddress,None,None,GeoCoordinates,None,None,Gartenstadt,4155989-7
d-D1wSyku6,None,Dorfkirche,Cahnsdorf,None,CAHNSDORF / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Cahnsdorf,4836814-3,"Stadt Luckau, Lkr. Dahme-Spreewald.",PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-zQJqR8J4,None,Askanierturm,Eichhorst,None,EICHHORST / Askanierturm,Askanierturm, None,None,Person,None, None,None,None,Eichhorst,7735485-0,Lkr. Barnim.,PostalAddress,None,None,GeoCoordinates,None,None,Aussichtsturm,4136859-9
d-qy4xmW8I,None,Tempelgarten,Tempelgarten neuruppin,None,NEURUPPIN / Tempelgarten,Tempelgarten, None,None,Person,None, None,None,None,Tempelgarten (neuruppin),4632765-4,Lkr. Ostprignitz-Ruppin.,PostalAddress,Präsidentenstr. 64,None,GeoCoordinates,52.9250172,12.8000922,Tempelgarten,None
d-JmhIthhZ,None,Friedrich-Wilhelm-Gestüt,Neustadt dosse,None,NEUSTADT (DOSSE) / Friedrich-Wilhelm-Gestüt,Friedrich-Wilhelm-Gestüt, None,None,Person,None, None,None,None,Neustadt (dosse),4323435-5,Lkr. Ostprignitz-Ruppin.,PostalAddress,Havelberger Straße,None,GeoCoordinates,52.8639032,12.4088015,Gestüt,4020752-3 
d-VliAwAW1,None,Stadtkirche,Neustadt dosse,None,NEUSTADT (DOSSE) / Ev. Stadtkirche,Ev. Stadtkirche, None,None,Person,None, None,None,None,Neustadt (dosse),4323435-5,Lkr. Ostprignitz-Ruppin.,PostalAddress,None,None,GeoCoordinates,52.8639032,12.4088015,Kirchenbau,4073436-5
d-jc0JM3R6,None,Verwaltungsgebäude Walzwerke,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Verwaltungsgebäude der Stahl- und Walzwerke,Verwaltungsgebäude der Stahl- und Walzwerke, None,None,Person,None, None,None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,Magdeburger Landstraße,None,GeoCoordinates,None,None,Verwaltungsbau,4063323-8
d-BWgsMslU,None,Stadtbefestigung,Brandenburg Havel,None,BRANDENBURG AN DER HAVEL / Stadtbefestigung,Stadtbefestigung, None,None,Person,None," Architektur,  Militär",None,None,Brandenburg An Der Havel,4007956-9,kreisfreie Stadt.,PostalAddress,None,None,GeoCoordinates,None,None,Stadtbefestigung,4139372-7
d-Z9w55JQF,None,Dorfkirche,Bomsdorf,None,BOMSDORF / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Bomsdorf,4117850-6,Lkr. Oder-Spree.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-Tud1AGg4,None,Dorfkirche,Borne,None,BORNE / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Borne,1063792096,Lkr. Potsdam-Mittelmark.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-TAPw746v,None,Dorfkirche,Brachwitz,None,BRACHWITZ / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Brachwitz,2177821-8,Lkr. Potsdam-Mittelmark.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-dV58pqOo,None,Dorfkirche,Bertikow,None,BERTIKOW / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Bertikow,1073952630,Lkr. Uckermark.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-x2av249J,None,Georgskapelle,Bernau,None,BERNAU / Ev. St. Georgskapelle,Ev. St. Georgskapelle, None,None,Person,None, None,None,None,Bernau,4005772-0,Lkr. Barnim.,PostalAddress,Mühlenstr. 20–26,None,GeoCoordinates,52.7017995,13.5441415,Kapelle,4029551-5
d-YGd1aVJ2,None,Rathaus,Bernau,None,BERNAU / Rathaus,Rathaus, None,None,Person,None," Öffentliche Verwaltung, Öffentlicher Dienst,  Architektur",None,None,Bernau,4005772-0,Lkr. Barnim.,PostalAddress,Marktplatz 2,None,GeoCoordinates,52.7017995,13.5441415,Rathaus,4176999-5
d-y9nz7BWn,None,Wohnhaus Breysig,Bergholz,None,BERGHOLZ-REHBRÜCKE / Wohnhaus Breysig,Wohnhaus Breysig, None,None,Person,None, None,None,None,Bergholz-rehbrücke,1068633638,Lkr. Potsdam-Mittelmark.,PostalAddress,Mörikestr. 4,None,GeoCoordinates,52.343191649999994,13.103439371126067,Haus,4023693-6
d-5CGP2Xwj,None,Gutsanlage,Briesen,None,BRIESEN / Gutsanlage,Gutsanlage, None,None,Person,None, Landwirtschaft allgemein,None,None,Briesen,4621279-6,Lkr. Dahme-Spreewald.,PostalAddress,Unter den Linden,None,GeoCoordinates,52.0578042,13.7219432,Gutshaus,4273398-4
